Region,Market,Store,Trade Date,Fiscal Period,Model,Line Of Business,Day Category,Revenue ,Units Sold ,Transaction Category
South East,Imo,Ihitte/Uboma,23-Aug-14,2015-05,5001C,Service Plan,WorkDay,288960,1,Low
South East,Imo,Ihitte/Uboma,26-Aug-14,2015-05,2500P,Printer Sale,WorkDay,1706040,4,Low
South East,Imo,Ihitte/Uboma,27-Aug-14,2015-05,3002C,Parts,WorkDay,20400,47,Medium
South East,Imo,Ihitte/Uboma,29-Aug-14,2015-05,4500C,Service Plan,WorkDay,4540080,28,Medium
South East,Imo,Ihitte/Uboma,31-Aug-14,2015-05,3002P,Parts,WorkDay,295200,50,Medium
South East,Imo,Ikeduru,1-Aug-14,2015-05,5001C,Service Plan,WorkDay,294000,2,Low
South East,Imo,Ikeduru,2-Aug-14,2015-05,3002C,Parts,WorkDay,756360,51,High
South East,Imo,Ikeduru,2-Aug-14,2015-05,3002C,Service Plan,WorkDay,2826960,18,Low
South East,Imo,Ikeduru,2-Aug-14,2015-05,3002P,Parts,WorkDay,49320,49,Medium
South East,Imo,Ikeduru,3-Aug-14,2015-05,2500C,Copier Sale,WorkDay,2703000,7,Low
South East,Imo,Ikeduru,4-Aug-14,2015-05,3002P,Parts,WorkDay,1505040,43,Medium
South East,Imo,Ikeduru,5-Aug-14,2015-05,3002P,Service Plan,WorkDay,8984760,22,Medium
South East,Imo,Ikeduru,8-Aug-14,2015-05,4055T,Parts,WorkDay,109680,54,High
South East,Imo,Ikeduru,15-Aug-14,2015-05,3002C,Parts,WorkDay,48600,33,Medium
South East,Imo,Ikeduru,16-Aug-14,2015-05,5001C,Parts,WorkDay,124800,25,Medium
South East,Imo,Ikeduru,19-Aug-14,2015-05,3002C,Parts,WorkDay,124920,14,Low
South East,Imo,Ikeduru,21-Aug-14,2015-05,2500P,Printer Sale,WorkDay,1458120,2,Low
South East,Imo,Ikeduru,25-Aug-14,2015-05,5001C,Parts,WorkDay,13200,31,Medium
South East,Imo,Ikeduru,27-Aug-14,2015-05,4500C,Service Plan,WorkDay,7348800,40,Medium
South East,Imo,Ikeduru,30-Aug-14,2015-05,5001P,Service Plan,WorkDay,1081920,4,Low
South South,Akwa Ibom,Abak,1-Aug-14,2015-05,5001C,Parts,WorkDay,960,13,Low
South South,Akwa Ibom,Abak,8-Aug-14,2015-05,3002C,Parts,WorkDay,477480,51,High
South South,Akwa Ibom,Abak,12-Aug-14,2015-05,2500C,Copier Sale,WorkDay,1113600,3,Low
South South,Akwa Ibom,Abak,12-Aug-14,2015-05,5001P,Service Plan,WorkDay,576240,1,Low
South South,Akwa Ibom,Abak,13-Aug-14,2015-05,5001C,Parts,WorkDay,27360,22,Medium
South South,Akwa Ibom,Abak,14-Aug-14,2015-05,3002C,Parts,WorkDay,60600,39,Medium
South South,Akwa Ibom,Abak,20-Aug-14,2015-05,2500P,Printer Sale,WorkDay,401280,52,High
South South,Akwa Ibom,Abak,20-Aug-14,2015-05,3002C,Service Plan,WorkDay,694440,2,Low
South South,Akwa Ibom,Abak,20-Aug-14,2015-05,4055T,Parts,WorkDay,427440,38,Medium
South South,Akwa Ibom,Abak,21-Aug-14,2015-05,3002P,Parts,WorkDay,379800,58,High
South South,Akwa Ibom,Abak,23-Aug-14,2015-05,3002P,Service Plan,WorkDay,4339080,19,Low
South South,Akwa Ibom,Abak,27-Aug-14,2015-05,5001C,Service Plan,WorkDay,40920,18,Low
South South,Akwa Ibom,Abak,28-Aug-14,2015-05,4500C,Service Plan,WorkDay,1678440,10,Low
South South,Akwa Ibom,Eastern Obolo,1-Aug-14,2015-05,4500C,Service Plan,WorkDay,5200080,20,Low
South South,Akwa Ibom,Eastern Obolo,2-Aug-14,2015-05,3002C,Parts,WorkDay,44520,19,Low
South South,Akwa Ibom,Eastern Obolo,4-Aug-14,2015-05,3002C,Parts,WorkDay,3240000,37,Medium
South South,Akwa Ibom,Eastern Obolo,5-Aug-14,2015-05,3002P,Parts,WorkDay,804000,36,Medium
South South,Akwa Ibom,Eastern Obolo,6-Aug-14,2015-05,4500P,Service Plan,WorkDay,363480,1,Low
South South,Akwa Ibom,Eastern Obolo,9-Aug-14,2015-05,2500C,Copier Sale,WorkDay,2637240,8,Low
South South,Akwa Ibom,Eastern Obolo,10-Aug-14,2015-05,5001P,Service Plan,WorkDay,1031520,4,Low
South South,Akwa Ibom,Eastern Obolo,11-Aug-14,2015-05,3002P,Service Plan,WorkDay,6965160,27,Medium
South South,Akwa Ibom,Eastern Obolo,16-Aug-14,2015-05,4055T,Parts,WorkDay,346680,49,Medium
South South,Akwa Ibom,Eastern Obolo,17-Aug-14,2015-05,3002C,Parts,WorkDay,14880,15,Low
South South,Akwa Ibom,Eastern Obolo,24-Aug-14,2015-05,2500P,Printer Sale,WorkDay,1189320,1,Low
South South,Akwa Ibom,Eastern Obolo,25-Aug-14,2015-05,3002C,Service Plan,WorkDay,1484880,8,Low
South South,Akwa Ibom,Eastern Obolo,25-Aug-14,2015-05,5001C,Parts,WorkDay,63720,36,Medium
South South,Akwa Ibom,Eastern Obolo,28-Aug-14,2015-05,5001C,Service Plan,WorkDay,238920,1,Low
South South,Akwa Ibom,Eket,8-Aug-14,2015-05,4500C,Service Plan,WorkDay,11611200,41,Medium
South South,Akwa Ibom,Eket,15-Aug-14,2015-05,5001C,Parts,WorkDay,54600,35,Medium
South South,Akwa Ibom,Eket,16-Aug-14,2015-05,2500C,Copier Sale,WorkDay,3118920,8,Low
South South,Akwa Ibom,Eket,17-Aug-14,2015-05,4055T,Parts,WorkDay,558240,38,Medium
South South,Akwa Ibom,Eket,20-Aug-14,2015-05,4500P,Service Plan,WorkDay,11185920,42,Medium
South South,Akwa Ibom,Eket,21-Aug-14,2015-05,3002C,Service Plan,WorkDay,2451000,16,Low
South South,Akwa Ibom,Eket,22-Aug-14,2015-05,3002P,Parts,WorkDay,3398520,54,High
South South,Akwa Ibom,Eket,24-Aug-14,2015-05,5001C,Service Plan,WorkDay,86040,36,Medium
South South,Akwa Ibom,Eket,25-Aug-14,2015-05,3002P,Service Plan,WorkDay,12835560,43,Medium
South South,Akwa Ibom,Eket,27-Aug-14,2015-05,5001P,Service Plan,WorkDay,850800,2,Low
South South,Akwa Ibom,Eket,28-Aug-14,2015-05,2500P,Printer Sale,WorkDay,3626520,6,Low
South South,Akwa Ibom,Esit Eket,2-Aug-14,2015-05,2500C,Copier Sale,WorkDay,2640600,6,Low
South South,Akwa Ibom,Esit Eket,2-Aug-14,2015-05,5001P,Service Plan,WorkDay,1934640,6,Low
South South,Akwa Ibom,Esit Eket,4-Aug-14,2015-05,5001C,Parts,WorkDay,3722400,56,High
South South,Akwa Ibom,Esit Eket,8-Aug-14,2015-05,3002P,Parts,WorkDay,42240,10,Low
South South,Akwa Ibom,Esit Eket,11-Aug-14,2015-05,3002C,Service Plan,WorkDay,3749040,15,Low
South South,Akwa Ibom,Esit Eket,13-Aug-14,2015-05,3002C,Parts,WorkDay,312000,51,High
South South,Akwa Ibom,Esit Eket,16-Aug-14,2015-05,3002C,Parts,WorkDay,73440,12,Low
South South,Akwa Ibom,Esit Eket,16-Aug-14,2015-05,3002P,Parts,WorkDay,2530920,57,High
South South,Akwa Ibom,Esit Eket,21-Aug-14,2015-05,3002P,Service Plan,WorkDay,15201240,69,High
South South,Akwa Ibom,Esit Eket,22-Aug-14,2015-05,5001P,Parts,WorkDay,240840,28,Medium
South South,Akwa Ibom,Esit Eket,24-Aug-14,2015-05,4055T,Parts,WorkDay,1154280,48,Medium
South South,Akwa Ibom,Esit Eket,30-Aug-14,2015-05,4500C,Service Plan,WorkDay,9954600,42,Medium
South South,Akwa Ibom,Esit Eket,31-Aug-14,2015-05,2500P,Printer Sale,WorkDay,2507640,3,Low
South South,Akwa Ibom,Esit Eket,31-Aug-14,2015-05,5001C,Service Plan,WorkDay,309360,1,Low
South South,Akwa Ibom,Essien Udim,2-Aug-14,2015-05,4500C,Service Plan,WorkDay,4063320,18,Low
South South,Akwa Ibom,Essien Udim,3-Aug-14,2015-05,3002C,Parts,WorkDay,29760,14,Low
South South,Akwa Ibom,Essien Udim,4-Aug-14,2015-05,3002P,Parts,WorkDay,86520,23,Medium
South South,Akwa Ibom,Essien Udim,7-Aug-14,2015-05,3002P,Service Plan,WorkDay,9963600,35,Medium
South South,Akwa Ibom,Essien Udim,11-Aug-14,2015-05,2500C,Copier Sale,WorkDay,6873000,23,Medium
South South,Akwa Ibom,Essien Udim,11-Aug-14,2015-05,5001P,Service Plan,WorkDay,1756320,6,Low
South South,Akwa Ibom,Essien Udim,14-Aug-14,2015-05,5001C,Parts,WorkDay,28800,60,High
South South,Akwa Ibom,Essien Udim,17-Aug-14,2015-05,4055T,Parts,WorkDay,389400,12,Low
South South,Akwa Ibom,Essien Udim,21-Aug-14,2015-05,5001C,Service Plan,WorkDay,130920,51,High
South South,Akwa Ibom,Essien Udim,24-Aug-14,2015-05,3002C,Parts,WorkDay,635160,12,Low
South South,Akwa Ibom,Essien Udim,26-Aug-14,2015-05,2500P,Printer Sale,WorkDay,1604760,2,Low
South South,Akwa Ibom,Essien Udim,29-Aug-14,2015-05,3002C,Parts,WorkDay,114240,41,Medium
South South,Akwa Ibom,Essien Udim,29-Aug-14,2015-05,3002C,Service Plan,WorkDay,3384840,13,Low
South South,Akwa Ibom,Essien Udim,30-Aug-14,2015-05,3002P,Parts,WorkDay,1221240,51,High
South South,Akwa Ibom,Etim Ekpo,3-Aug-14,2015-05,3002P,Parts,WorkDay,1144320,25,Medium
South South,Akwa Ibom,Etim Ekpo,7-Aug-14,2015-05,2500C,Copier Sale,WorkDay,12436320,40,Medium
South South,Akwa Ibom,Etim Ekpo,7-Aug-14,2015-05,3002C,Parts,WorkDay,31080,35,Medium
South South,Akwa Ibom,Etim Ekpo,14-Aug-14,2015-05,3002C,Service Plan,WorkDay,6231000,36,Medium
South South,Akwa Ibom,Etim Ekpo,14-Aug-14,2015-05,3002P,Service Plan,WorkDay,10835280,34,Medium
South South,Akwa Ibom,Etim Ekpo,16-Aug-14,2015-05,5001P,Service Plan,WorkDay,955560,3,Low
South South,Akwa Ibom,Etim Ekpo,18-Aug-14,2015-05,3002P,Parts,WorkDay,225600,60,High
South South,Akwa Ibom,Etim Ekpo,21-Aug-14,2015-05,5001P,Parts,WorkDay,280080,19,Low
South South,Akwa Ibom,Etim Ekpo,24-Aug-14,2015-05,4055T,Parts,WorkDay,234720,35,Medium
South South,Akwa Ibom,Etim Ekpo,29-Aug-14,2015-05,2500P,Printer Sale,WorkDay,2336520,5,Low
South South,Akwa Ibom,Etim Ekpo,31-Aug-14,2015-05,4500C,Service Plan,WorkDay,6488040,43,Medium
South South,Akwa Ibom,Etinan,2-Aug-14,2015-05,3002P,Service Plan,WorkDay,4618440,18,Low
South South,Akwa Ibom,Etinan,7-Aug-14,2015-05,4500C,Service Plan,WorkDay,1786560,11,Low
South South,Akwa Ibom,Etinan,14-Aug-14,2015-05,2500C,Copier Sale,WorkDay,1185240,2,Low
South South,Akwa Ibom,Etinan,18-Aug-14,2015-05,3002C,Service Plan,WorkDay,739200,6,Low
South South,Akwa Ibom,Etinan,18-Aug-14,2015-05,5001C,Service Plan,WorkDay,43680,22,Medium
South South,Akwa Ibom,Etinan,19-Aug-14,2015-05,5001P,Service Plan,WorkDay,613440,1,Low
South South,Akwa Ibom,Etinan,20-Aug-14,2015-05,5001C,Parts,WorkDay,29160,10,Low
South South,Akwa Ibom,Etinan,22-Aug-14,2015-05,3002C,Parts,WorkDay,508200,35,Medium
South South,Akwa Ibom,Etinan,22-Aug-14,2015-05,4055T,Parts,WorkDay,454920,12,Low
South South,Akwa Ibom,Etinan,25-Aug-14,2015-05,3002P,Parts,WorkDay,404280,27,Medium
South South,Akwa Ibom,Etinan,27-Aug-14,2015-05,3002C,Parts,WorkDay,64560,23,Medium
South South,Akwa Ibom,Etinan,29-Aug-14,2015-05,2500P,Printer Sale,WorkDay,427080,28,Medium
South South,Akwa Ibom,Etinan,31-Aug-14,2015-05,5001C,Parts,WorkDay,1080,57,High
South South,Akwa Ibom,Ibeno,7-Aug-14,2015-05,5001P,Service Plan,WorkDay,511800,2,Low
South South,Akwa Ibom,Ibeno,10-Aug-14,2015-05,3002C,Service Plan,WorkDay,1584840,11,Low
South South,Akwa Ibom,Ibeno,10-Aug-14,2015-05,5001C,Service Plan,WorkDay,71640,11,Low
South South,Akwa Ibom,Ibeno,13-Aug-14,2015-05,3002P,Parts,WorkDay,1354200,29,Medium
South South,Akwa Ibom,Ibeno,13-Aug-14,2015-05,3002P,Service Plan,WorkDay,6006840,14,Low
South South,Akwa Ibom,Ibeno,19-Aug-14,2015-05,5001C,Parts,WorkDay,269280,29,Medium
South South,Akwa Ibom,Ibeno,20-Aug-14,2015-05,3002C,Parts,WorkDay,14880,55,High
South South,Akwa Ibom,Ibeno,20-Aug-14,2015-05,4055T,Parts,WorkDay,31560,32,Medium
South South,Akwa Ibom,Ibeno,23-Aug-14,2015-05,2500P,Printer Sale,WorkDay,4917120,9,Low
South South,Akwa Ibom,Ibeno,29-Aug-14,2015-05,2500C,Copier Sale,WorkDay,1804080,5,Low
South South,Akwa Ibom,Ibeno,30-Aug-14,2015-05,4500C,Service Plan,WorkDay,6933120,26,Medium
South South,Bayelsa,Brass,6-Aug-14,2015-05,3002P,Parts,WorkDay,2106720,34,Medium
South South,Bayelsa,Brass,7-Aug-14,2015-05,5001P,Service Plan,WorkDay,2534040,8,Low
South South,Bayelsa,Brass,8-Aug-14,2015-05,5001C,Parts,WorkDay,9840,12,Low
South South,Bayelsa,Brass,9-Aug-14,2015-05,2500C,Copier Sale,WorkDay,3386400,9,Low
South South,Bayelsa,Brass,9-Aug-14,2015-05,5001C,Parts,WorkDay,1020000,39,Medium
South South,Bayelsa,Brass,9-Aug-14,2015-05,5001C,Service Plan,WorkDay,281280,2,Low
South South,Bayelsa,Brass,10-Aug-14,2015-05,5001P,Parts,WorkDay,109560,53,High
South South,Bayelsa,Brass,14-Aug-14,2015-05,3002C,Parts,WorkDay,14400,32,Medium
South South,Bayelsa,Brass,16-Aug-14,2015-05,4500C,Service Plan,WorkDay,7761720,34,Medium
South South,Bayelsa,Brass,18-Aug-14,2015-05,3002C,Service Plan,WorkDay,4316880,29,Medium
South South,Bayelsa,Brass,20-Aug-14,2015-05,3002P,Service Plan,WorkDay,15804840,59,High
South South,Bayelsa,Brass,22-Aug-14,2015-05,3002C,Parts,WorkDay,895560,50,Medium
South South,Bayelsa,Brass,28-Aug-14,2015-05,2500P,Printer Sale,WorkDay,3921000,6,Low
South South,Bayelsa,Brass,29-Aug-14,2015-05,3002C,Parts,WorkDay,1691760,17,Low
South South,Bayelsa,Brass,29-Aug-14,2015-05,4055T,Parts,WorkDay,180240,23,Medium
South South,Bayelsa,Ekeremor,1-Aug-14,2015-05,3002C,Parts,WorkDay,63600,11,Low
South South,Bayelsa,Ekeremor,4-Aug-14,2015-05,4055T,Parts,WorkDay,442440,13,Low
South South,Bayelsa,Ekeremor,8-Aug-14,2015-05,2500C,Copier Sale,WorkDay,1125720,2,Low
South South,Bayelsa,Ekeremor,10-Aug-14,2015-05,2500P,Printer Sale,WorkDay,2685480,3,Low
South South,Bayelsa,Ekeremor,13-Aug-14,2015-05,4500C,Service Plan,WorkDay,6244200,30,Medium
South South,Bayelsa,Ekeremor,19-Aug-14,2015-05,3002C,Parts,WorkDay,1352520,39,Medium
South South,Bayelsa,Ekeremor,19-Aug-14,2015-05,3002P,Parts,WorkDay,2367960,43,Medium
South South,Bayelsa,Ekeremor,19-Aug-14,2015-05,5001P,Parts,WorkDay,325080,22,Medium
South South,Bayelsa,Ekeremor,19-Aug-14,2015-05,5001P,Service Plan,WorkDay,2545440,9,Low
South South,Bayelsa,Ekeremor,23-Aug-14,2015-05,3002C,Service Plan,WorkDay,3076320,19,Low
South South,Bayelsa,Ekeremor,25-Aug-14,2015-05,3002P,Service Plan,WorkDay,14989800,52,High
South South,Bayelsa,Ekeremor,25-Aug-14,2015-05,5001C,Parts,WorkDay,81960,59,High
South South,Bayelsa,Ekeremor,27-Aug-14,2015-05,3002C,Parts,WorkDay,146160,40,Medium
South South,Bayelsa,Ekeremor,29-Aug-14,2015-05,5001C,Service Plan,WorkDay,474240,4,Low
South South,Bayelsa,Kolokuma/Opokuma,2-Aug-14,2015-05,3002C,Parts,WorkDay,572640,45,Medium
South South,Bayelsa,Kolokuma/Opokuma,4-Aug-14,2015-05,2500P,Printer Sale,WorkDay,1916280,4,Low
South South,Bayelsa,Kolokuma/Opokuma,8-Aug-14,2015-05,5001C,Service Plan,WorkDay,124920,20,Low
South South,Bayelsa,Kolokuma/Opokuma,14-Aug-14,2015-05,4055T,Parts,WorkDay,691560,54,High
South South,Bayelsa,Kolokuma/Opokuma,15-Aug-14,2015-05,3002P,Parts,WorkDay,914280,10,Low
South South,Bayelsa,Kolokuma/Opokuma,17-Aug-14,2015-05,3002C,Service Plan,WorkDay,2206080,11,Low
South South,Bayelsa,Kolokuma/Opokuma,19-Aug-14,2015-05,5001C,Parts,WorkDay,49200,50,Medium
South South,Bayelsa,Kolokuma/Opokuma,23-Aug-14,2015-05,5001P,Parts,WorkDay,216720,27,Medium
South South,Bayelsa,Kolokuma/Opokuma,26-Aug-14,2015-05,2500C,Copier Sale,WorkDay,2067360,4,Low
South South,Bayelsa,Kolokuma/Opokuma,26-Aug-14,2015-05,5001P,Service Plan,WorkDay,1364040,5,Low
South South,Bayelsa,Kolokuma/Opokuma,28-Aug-14,2015-05,3002P,Service Plan,WorkDay,9007440,25,Medium
South South,Bayelsa,Kolokuma/Opokuma,29-Aug-14,2015-05,4500C,Service Plan,WorkDay,5532240,27,Medium
South South,Bayelsa,Nembe,1-Aug-14,2015-05,4055T,Parts,WorkDay,724320,40,Medium
South South,Bayelsa,Nembe,3-Aug-14,2015-05,2500P,Printer Sale,WorkDay,3880680,8,Low
South South,Bayelsa,Nembe,4-Aug-14,2015-05,3002C,Service Plan,WorkDay,5283480,23,Medium
South South,Bayelsa,Nembe,4-Aug-14,2015-05,4500C,Service Plan,WorkDay,10694880,68,High
South South,Bayelsa,Nembe,5-Aug-14,2015-05,3002P,Service Plan,WorkDay,19318440,73,High
South South,Bayelsa,Nembe,12-Aug-14,2015-05,3002C,Parts,WorkDay,7389240,40,Medium
South South,Bayelsa,Nembe,13-Aug-14,2015-05,4500P,Service Plan,WorkDay,6240,55,High
South South,Bayelsa,Nembe,13-Aug-14,2015-05,5001C,Parts,WorkDay,2457960,38,Medium
South South,Bayelsa,Nembe,14-Aug-14,2015-05,5001P,Service Plan,WorkDay,2064360,9,Low
South South,Bayelsa,Nembe,17-Aug-14,2015-05,5001C,Parts,WorkDay,719400,34,Medium
South South,Bayelsa,Nembe,23-Aug-14,2015-05,2500C,Copier Sale,WorkDay,7025040,23,Medium
South South,Bayelsa,Nembe,23-Aug-14,2015-05,3002C,Parts,WorkDay,115200,18,Low
South South,Bayelsa,Nembe,25-Aug-14,2015-05,3002P,Parts,WorkDay,2827680,27,Medium
South South,Bayelsa,Nembe,27-Aug-14,2015-05,3002C,Parts,WorkDay,28920,37,Medium
South South,Bayelsa,Nembe,28-Aug-14,2015-05,5001C,Service Plan,WorkDay,43200,18,Low
South South,Bayelsa,Nembe,28-Aug-14,2015-05,5001P,Parts,WorkDay,327720,16,Low
South South,Bayelsa,Ogbia,1-Aug-14,2015-05,5001P,Service Plan,WorkDay,2191080,10,Low
South South,Bayelsa,Ogbia,3-Aug-14,2015-05,4500C,Service Plan,WorkDay,7250280,46,Medium
South South,Bayelsa,Ogbia,6-Aug-14,2015-05,3002P,Parts,WorkDay,897720,40,Medium
South South,Bayelsa,Ogbia,6-Aug-14,2015-05,5001C,Service Plan,WorkDay,325080,2,Low
South South,Bayelsa,Ogbia,11-Aug-14,2015-05,3002C,Parts,WorkDay,58440,19,Low
South South,Bayelsa,Ogbia,11-Aug-14,2015-05,5001C,Parts,WorkDay,48000,18,Low
South South,Bayelsa,Ogbia,12-Aug-14,2015-05,2500P,Printer Sale,WorkDay,2037000,3,Low
South South,Bayelsa,Ogbia,12-Aug-14,2015-05,3002C,Service Plan,WorkDay,1980120,13,Low
South South,Bayelsa,Ogbia,20-Aug-14,2015-05,2500C,Copier Sale,WorkDay,3177120,8,Low
South South,Bayelsa,Ogbia,21-Aug-14,2015-05,3002P,Service Plan,WorkDay,12787920,31,Medium
South South,Bayelsa,Ogbia,22-Aug-14,2015-05,5001P,Parts,WorkDay,7080,57,High
South South,Bayelsa,Ogbia,28-Aug-14,2015-05,4055T,Parts,WorkDay,608040,39,Medium
South South,Bayelsa,Sagbama,1-Aug-14,2015-05,2500C,Copier Sale,WorkDay,1776120,4,Low
South South,Bayelsa,Sagbama,1-Aug-14,2015-05,3002C,Service Plan,WorkDay,1751400,11,Low
South South,Bayelsa,Sagbama,6-Aug-14,2015-05,2500P,Printer Sale,WorkDay,1070280,2,Low
South South,Bayelsa,Sagbama,7-Aug-14,2015-05,5001P,Service Plan,WorkDay,1111200,4,Low
South South,Bayelsa,Sagbama,8-Aug-14,2015-05,3002C,Parts,WorkDay,14880,46,Medium
South South,Bayelsa,Sagbama,11-Aug-14,2015-05,3002C,Parts,WorkDay,120000,50,Medium
South South,Bayelsa,Sagbama,13-Aug-14,2015-05,4500C,Service Plan,WorkDay,3779280,20,Low
South South,Bayelsa,Sagbama,13-Aug-14,2015-05,4500P,Service Plan,WorkDay,4116360,20,Low
South South,Bayelsa,Sagbama,17-Aug-14,2015-05,3002C,Parts,WorkDay,5970000,58,High
South South,Bayelsa,Sagbama,18-Aug-14,2015-05,5001C,Service Plan,WorkDay,213360,1,Low
South South,Bayelsa,Sagbama,23-Aug-14,2015-05,3002P,Service Plan,WorkDay,11784960,54,High
South South,Bayelsa,Sagbama,24-Aug-14,2015-05,5001C,Parts,WorkDay,300000,18,Low
South South,Bayelsa,Sagbama,29-Aug-14,2015-05,3002P,Parts,WorkDay,1406280,29,Medium
South South,Bayelsa,Sagbama,30-Aug-14,2015-05,3002C,Parts,WorkDay,73920,53,High
South South,Cross River,Abi,1-Aug-14,2015-05,5001P,Parts,WorkDay,371280,22,Medium
South South,Cross River,Abi,5-Aug-14,2015-05,3002P,Parts,WorkDay,2631360,10,Low
South South,Cross River,Abi,7-Aug-14,2015-05,2500C,Copier Sale,WorkDay,2430840,6,Low
South South,Cross River,Abi,7-Aug-14,2015-05,2500P,Printer Sale,WorkDay,3821880,7,Low
South South,Cross River,Abi,9-Aug-14,2015-05,5001C,Parts,WorkDay,805200,27,Medium
South South,Cross River,Abi,10-Aug-14,2015-05,3002P,Parts,WorkDay,516000,53,High
South South,Cross River,Abi,13-Aug-14,2015-05,3002C,Parts,WorkDay,331200,39,Medium
South South,Cross River,Abi,18-Aug-14,2015-05,5001P,Service Plan,WorkDay,662520,3,Low
South South,Cross River,Abi,19-Aug-14,2015-05,3002C,Parts,WorkDay,273960,24,Medium
South South,Cross River,Abi,20-Aug-14,2015-05,5001C,Service Plan,WorkDay,261840,2,Low
South South,Cross River,Abi,21-Aug-14,2015-05,4500C,Service Plan,WorkDay,7239240,41,Medium
South South,Cross River,Abi,24-Aug-14,2015-05,3002C,Service Plan,WorkDay,3425520,24,Medium
South South,Cross River,Abi,27-Aug-14,2015-05,3002C,Parts,WorkDay,446400,39,Medium
South South,Cross River,Abi,28-Aug-14,2015-05,4055T,Parts,WorkDay,496440,43,Medium
South South,Cross River,Abi,29-Aug-14,2015-05,3002P,Service Plan,WorkDay,12278880,51,High
South South,Cross River,Akamkpa,1-Aug-14,2015-05,4055T,Parts,WorkDay,533520,32,Medium
South South,Cross River,Akamkpa,8-Aug-14,2015-05,3002C,Parts,WorkDay,273480,30,Medium
South South,Cross River,Akamkpa,9-Aug-14,2015-05,2500P,Printer Sale,WorkDay,2982600,3,Low
South South,Cross River,Akamkpa,12-Aug-14,2015-05,3002P,Service Plan,WorkDay,9931200,28,Medium
South South,Cross River,Akamkpa,12-Aug-14,2015-05,5001C,Service Plan,WorkDay,130080,37,Medium
South South,Cross River,Akamkpa,13-Aug-14,2015-05,3002P,Parts,WorkDay,1276920,36,Medium
South South,Cross River,Akamkpa,15-Aug-14,2015-05,3002C,Service Plan,WorkDay,3026760,17,Low
South South,Cross River,Akamkpa,15-Aug-14,2015-05,5001P,Service Plan,WorkDay,1005600,4,Low
South South,Cross River,Akamkpa,19-Aug-14,2015-05,4500C,Service Plan,WorkDay,6703680,31,Medium
South South,Cross River,Akamkpa,19-Aug-14,2015-05,4500P,Service Plan,WorkDay,1976280,8,Low
South South,Cross River,Akamkpa,23-Aug-14,2015-05,5001P,Parts,WorkDay,406920,60,High
South South,Cross River,Akamkpa,24-Aug-14,2015-05,3002C,Parts,WorkDay,13800,60,High
South South,Cross River,Akamkpa,28-Aug-14,2015-05,3002P,Parts,WorkDay,312960,40,Medium
South South,Cross River,Akamkpa,29-Aug-14,2015-05,2500C,Copier Sale,WorkDay,1661880,4,Low
South South,Cross River,Akamkpa,31-Aug-14,2015-05,3002C,Parts,WorkDay,14880,41,Medium
South South,Cross River,Akpabuyo,2-Aug-14,2015-05,5001P,Service Plan,WorkDay,1225920,3,Low
South South,Cross River,Akpabuyo,4-Aug-14,2015-05,3002C,Parts,WorkDay,74400,24,Medium
South South,Cross River,Akpabuyo,11-Aug-14,2015-05,3002C,Parts,WorkDay,104400,26,Medium
South South,Cross River,Akpabuyo,13-Aug-14,2015-05,4055T,Parts,WorkDay,501960,29,Medium
South South,Cross River,Akpabuyo,13-Aug-14,2015-05,5001P,Parts,WorkDay,153000,13,Low
South South,Cross River,Akpabuyo,15-Aug-14,2015-05,5001C,Service Plan,WorkDay,80880,52,High
South South,Cross River,Akpabuyo,19-Aug-14,2015-05,2500C,Copier Sale,WorkDay,3727560,9,Low
South South,Cross River,Akpabuyo,20-Aug-14,2015-05,3002P,Parts,WorkDay,149400,37,Medium
South South,Cross River,Akpabuyo,23-Aug-14,2015-05,3002P,Service Plan,WorkDay,12955200,43,Medium
South South,Cross River,Akpabuyo,24-Aug-14,2015-05,4500C,Service Plan,WorkDay,9139920,34,Medium
South South,Cross River,Akpabuyo,29-Aug-14,2015-05,2500P,Printer Sale,WorkDay,6156240,10,Low
South South,Cross River,Akpabuyo,30-Aug-14,2015-05,3002P,Parts,WorkDay,3489360,13,Low
South South,Cross River,Akpabuyo,31-Aug-14,2015-05,3002C,Parts,WorkDay,67080,41,Medium
South South,Cross River,Akpabuyo,31-Aug-14,2015-05,3002C,Service Plan,WorkDay,3169080,19,Low
South South,Cross River,Akpabuyo,31-Aug-14,2015-05,4500P,Service Plan,WorkDay,1743000,7,Low
South South,Cross River,Akpabuyo,31-Aug-14,2015-05,5001C,Parts,WorkDay,180720,15,Low
South South,Cross River,Bakassi,5-Aug-14,2015-05,2500C,Copier Sale,WorkDay,2217120,5,Low
South South,Cross River,Bakassi,6-Aug-14,2015-05,3002P,Parts,WorkDay,2181360,53,High
South South,Cross River,Bakassi,8-Aug-14,2015-05,3002C,Parts,WorkDay,19680,59,High
South South,Cross River,Bakassi,9-Aug-14,2015-05,2500P,Printer Sale,WorkDay,2234640,6,Low
South South,Cross River,Bakassi,9-Aug-14,2015-05,3002C,Service Plan,WorkDay,2297040,15,Low
South South,Cross River,Bakassi,11-Aug-14,2015-05,3002P,Parts,WorkDay,114600,42,Medium
South South,Cross River,Bakassi,17-Aug-14,2015-05,5001C,Parts,WorkDay,79200,16,Low
South South,Cross River,Bakassi,18-Aug-14,2015-05,3002C,Parts,WorkDay,239880,27,Medium
South South,Cross River,Bakassi,18-Aug-14,2015-05,4500P,Service Plan,WorkDay,843840,3,Low
